PLANT_NAME,Description,Distribution_and_Habitat,Growing_Requirements,Uses_and_Benefits,Conservation_Status
Hibiscus Rosa-sinensis,"Hibiscus Rosa-sinensis, commonly known as Hibiscus or China Rose, is a flowering shrub or small tree belonging to the Malvaceae family. It is native to East Asia and is widely cultivated for its vibrant and showy flowers.","Hibiscus Rosa-sinensis is found in various tropical and subtropical regions, including China, India, and Southeast Asia. It grows in diverse habitats, including gardens, landscapes, and natural areas.",Hibiscus plants prefer well-drained soil and a warm climate. They require ample sunlight and can tolerate a range of temperatures.,"The flowers of Hibiscus Rosa-sinensis are ornamental and used in landscaping and decorative purposes. They are also used to make herbal teas, infusions, and traditional remedies with potential health benefits.",Hibiscus Rosa-sinensis is not typically considered a threatened or endangered species.
Jasminum (Jasmine),Jasminum is a genus of flowering shrubs and vines in the Oleaceae family. Various species of Jasmine are known for their fragrant and delicate flowers. They are widely cultivated for their ornamental and aromatic qualities.,"Jasmine species can be found in different regions around the world, including Asia, Africa, and Europe. They grow in diverse habitats, ranging from forests and woodlands to gardens and cultivated areas.","The specific growing requirements for Jasmine can vary depending on the species. Generally, they prefer well-drained soil, ample sunlight, and a warm climate.","Jasmine flowers are highly valued for their fragrance and are used in perfumes, cosmetics, and aromatherapy products. They are also used to make tea and infusions with potential health benefits.",The conservation status of Jasminum species can vary depending on the specific species and their geographic distribution. Some species may be endangered or threatened in certain regions.
Mangifera Indica (Mango),"Mangifera Indica, commonly known as Mango, is a fruit-bearing tree belonging to the Anacardiaceae family. It is native to South Asia and is widely cultivated for its delicious and juicy fruits.","Mango trees are cultivated in various tropical and subtropical regions around the world, including countries like India, Thailand, Mexico, and Brazil. They thrive in warm climates and require a dry period to initiate flowering.",Mango trees prefer well-drained soil and ample sunlight. They require a hot and dry climate for fruit production. Different varieties of mangoes have specific growing requirements.,"Mango fruits are highly prized for their sweet and tangy flavor. They are consumed fresh and used in a wide range of culinary preparations, including desserts, beverages, and savory dishes. Mangoes are also a rich source of vitamins, minerals, and antioxidants.",Mangifera Indica is not typically considered a threatened or endangered species.
Mentha (Mint),"Mentha is a genus of aromatic herbaceous plants in the Lamiaceae family. It includes various species of mint, known for their characteristic fragrance and culinary uses.","Different species of mint can be found in various regions around the world. They often grow in moist and temperate climates, such as North America, Europe, and Asia.",Mint plants thrive in moist soil and partial shade. They can be grown in containers or in garden beds. Mint species may have slightly different growing preferences.,"Mint leaves are widely used in culinary applications, such as flavoring teas, beverages, salads, and desserts. They also have medicinal properties and are used in traditional remedies for digestive issues and respiratory ailments.",The conservation status of specific mint species may vary. Some rare or endemic species of mint may be threatened in certain regions.
Moringa Oleifera (Drumstick),"Moringa Oleifera, commonly known as Drumstick tree or Horseradish tree, is a fast-growing deciduous tree belonging to the Moringaceae family. It is native to the Indian subcontinent and is known for its nutritious leaves, flowers, and pods.","Drumstick trees are found in various parts of South Asia, including India, Bangladesh, and Sri Lanka. They also grow in other tropical and subtropical regions around the world.","Moringa trees can adapt to a range of soil types, but they prefer well-drained soil. They thrive in warm climates and can tolerate drought conditions.","Moringa leaves, flowers, and pods are highly nutritious and are consumed as a vegetable. They are rich in vitamins, minerals, and antioxidants. Moringa is also used in traditional medicine and as a natural supplement.",Moringa Oleifera is not typically considered a threatened or endangered species.
Muntingia Calabura (Jamaica Cherry-Gasagase),"Muntingia Calabura, commonly known as Jamaica Cherry or Gasagase, is a small, fast-growing tree belonging to the Muntingiaceae family. It is native to tropical regions of the Americas and is known for its cherry-like fruits.","Jamaica Cherry trees can be found in various countries, including parts of the Caribbean, Central America, and South America. They grow in a range of habitats, including forests, open fields, and disturbed areas.",Jamaica Cherry trees prefer well-drained soil and full sun. They are adaptable to different soil types and can tolerate drought conditions.,"The fruits of Muntingia Calabura are edible and have a sweet-tart flavor. They are often eaten fresh or used in jams, jellies, and beverages. The tree also has some medicinal uses in traditional practices.",Muntingia Calabura is not typically considered a threatened or endangered species.
Murray Koenigii (Curry),"Murray Koenigii, commonly known as Curry tree or Curry leaf, is a small, evergreen tree belonging to the Rutaceae family. It is native to the Indian subcontinent and is known for its aromatic leaves, which are used as a culinary spice.","Curry trees are native to India, Sri Lanka, and other parts of South Asia. They are also cultivated in other tropical and subtropical regions around the world. They thrive in warm climates.",Curry trees prefer well-drained soil and a sunny location. They can tolerate a range of temperatures but require protection from frost. The tree can be grown in containers or planted in the ground.,"The leaves of Murray Koenigii are highly valued for their distinct flavor and aroma, which is used in various curry dishes and culinary preparations. They are also believed to have medicinal properties in traditional medicine.",Murray Koenigii is not typically considered a threatened or endangered species.
Nerium Oleander (Oleander),"Nerium Oleander is a flowering shrub belonging to the Apocynaceae family. It is native to the Mediterranean region and is cultivated for its showy and fragrant flowers. However, it is important to note that Oleander is toxic and should be handled with care.","Oleander is cultivated in many parts of the world, including regions with a Mediterranean climate. It is often seen in gardens, parks, and landscapes.","Oleander prefers well-drained soil and full sun. It can tolerate a range of soil types and is drought-tolerant once established. However, it is important to note that all parts of the plant are toxic and should be handled with caution.","Despite its toxic nature, Oleander is appreciated for its attractive flowers, which come in various colors. It is used as an ornamental plant in landscaping, but caution should be exercised to prevent ingestion or contact with the toxic compounds.",Nerium Oleander is not typically considered a threatened or endangered species.
Nyctanthes Arbor-tristis (Parijata),"Nyctanthes Arbor-tristis, commonly known as Parijata or Night-flowering Jasmine, is a small, deciduous tree belonging to the Oleaceae family. It is native to South Asia and is known for its fragrant, star-shaped white flowers.","Parijata trees are native to the Indian subcontinent, including countries like India, Nepal, and Bangladesh. They are often found in gardens, temple premises, and cultural landscapes.",Parijata trees prefer well-drained soil and a warm climate. They require ample sunlight for flowering. The tree can be grown in containers or planted in the ground.,"The flowers of Nyctanthes Arbor-tristis are highly fragrant and are used in religious rituals, garlands, and traditional decorations. They are also associated with cultural and mythological significance in certain communities.",Nyctanthes Arbor-tristis is not typically considered a threatened or endangered species.
Ocimum Tenuiflorum (Tulsi),"Ocimum Tenuiflorum, commonly known as Tulsi or Holy Basil, is a perennial herb belonging to the Lamiaceae family. It is native to the Indian subcontinent and is revered for its medicinal and cultural significance.","Tulsi is cultivated and found in various parts of South Asia, including India, Sri Lanka, and Nepal. It is often grown in gardens, temple premises, and household settings.",Tulsi plants prefer well-drained soil and a warm climate. They require ample sunlight and can be grown in pots or directly in the ground.,Tulsi is considered a sacred plant in Hinduism and is used in religious ceremonies and rituals. It has medicinal properties and is used in traditional Ayurvedic medicine for various health ailments. The leaves are also used in culinary preparations and herbal teas.,Ocimum Tenuiflorum is not typically considered a threatened or endangered species.
Piper Betle (Betel),"Piper Betle, commonly known as Betel leaf, is a climbing vine belonging to the Piperaceae family. It is native to South and Southeast Asia and is widely cultivated for its leaves, which are used in traditional practices and as a mild stimulant.","Betel plants are found in various countries across South and Southeast Asia, including India, Bangladesh, Indonesia, and Thailand. They grow in warm and humid climates.",Betel plants prefer well-drained soil and partial shade. They require a warm and humid environment for optimal growth. The plant can be grown on trellises or as ground cover.,"Betel leaves are used in traditional practices, such as chewing betel quid, which often includes other ingredients like areca nut, slaked lime, and tobacco. Betel leaves are also used for medicinal purposes and have cultural significance in certain communities.",Betle is not typically considered a threatened or endangered species.
Plectranthus Amboinicus (Mexican Mint),"Plectranthus Amboinicus, commonly known as Mexican Mint or Indian Borage, is a perennial herb belonging to the Lamiaceae family. It is native to Southern and Eastern Africa but is widely cultivated in various tropical regions for its culinary and medicinal uses.","Mexican Mint plants are cultivated in many parts of the world, including India, Indonesia, and certain regions of the Americas. They are often grown in gardens and as potted plants.",Mexican Mint prefers well-drained soil and partial shade. It can tolerate a range of temperatures but thrives in warm climates. The plant is often grown in containers or as a garden herb.,The leaves of Plectranthus Amboinicus have a distinct aroma and are used as a culinary herb in various cuisines. They are also known for their medicinal properties and are used in traditional remedies for respiratory ailments and digestive issues.,Plectranthus Amboinicus is not typically considered a threatened or endangered species.
Pongamia Pinnata (Indian Beech),"Pongamia Pinnata, commonly known as Indian Beech or Karanj, is a medium-sized tree belonging to the Fabaceae family. It is native to the Indian subcontinent and is known for its timber, oilseeds, and potential for biofuel production.","Indian Beech trees are found in various parts of South Asia, including India, Bangladesh, and Sri Lanka. They also grow in other tropical and subtropical regions around the world. They are often found along rivers, in coastal areas, and in disturbed habitats.",Pongamia Pinnata prefers well-drained soil and full sun. It is a hardy tree that can tolerate drought conditions and a variety of soil types.,"Pongamia Pinnata has multiple uses. The seeds of the tree contain oil that can be used for various purposes, including biodiesel production and traditional medicine. The timber is used in construction and as fuelwood.",Pongamia Pinnata is not typically considered a threatened or endangered species.
Psidium Guajava (Guava),"Psidium Guajava, commonly known as Guava, is a small to medium-sized tree belonging to the Myrtaceae family. It is native to Central America and is now cultivated in tropical and subtropical regions worldwide for its delicious and nutritious fruits.","Guava trees are cultivated in many countries with suitable climates, including India, Brazil, Mexico, and Thailand. They are often found in gardens, orchards, and home landscapes.",Guava trees prefer well-drained soil and full sun. They are adaptable to different soil types and can tolerate drought conditions. Pruning is often required to maintain their shape and improve fruit production.,"Guava fruits are highly nutritious, rich in vitamins, minerals, and antioxidants. They are consumed fresh and used in various culinary preparations, such as juices, jams, and desserts. Guava leaves are also used in traditional medicine.",Psidium Guajava is not typically considered a threatened or endangered species.
Punica Granatum (Pomegranate),"Punica Granatum, commonly known as Pomegranate, is a small deciduous tree belonging to the Lythraceae family. It is native to the Middle East and has been cultivated for thousands of years for its distinctive fruits and ornamental value.","Pomegranate trees are cultivated in various countries with suitable climates, including India, Iran, Spain, and the United States. They are often found in gardens, orchards, and cultural landscapes.",Pomegranate trees prefer well-drained soil and full sun. They can tolerate a range of soil types but require regular watering during the growing season. Pruning is often done to maintain the tree's shape and improve fruit production.,"Pomegranate fruits are known for their sweet-tart flavor and numerous health benefits. They are consumed fresh, juiced, and used in culinary preparations. Pomegranate juice and extracts are also popular for their antioxidant properties.",Punica Granatum is not typically considered a threatened or endangered species.
Santalum Album (Sandalwood),"Santalum Album, commonly known as Sandalwood, is a medium-sized evergreen tree belonging to the Santalaceae family. It is native to the Indian subcontinent and Southeast Asia and is known for its highly fragrant wood, which is used in various industries.","Sandalwood trees are native to India, Indonesia, and other countries in the region. They are often found in dry forests, savannas, and plantations.","Sandalwood trees prefer well-drained soil and a warm, tropical climate. They require partial shade when young but can tolerate full sun as they mature. The tree is slow-growing and requires several years to develop the highly valued heartwood.","The heartwood of Santalum Album is highly prized for its fragrance and is used in the production of incense, perfumes, and various wood-based products. Sandalwood oil is also extracted for its aromatic properties and is used in traditional medicine.",Santalum Album is considered a threatened species due to overexploitation and habitat loss in its native range.
Syzygium Cumini (Jamun),"Syzygium Cumini, commonly known as Jamun or Indian Blackberry, is a medium-sized evergreen tree belonging to the Myrtaceae family. It is native to the Indian subcontinent and is known for its edible fruits and medicinal properties.","Jamun trees are found in various parts of South Asia, including India, Sri Lanka, and Bangladesh. They are often cultivated in gardens, orchards, and urban landscapes.",Jamun trees prefer well-drained soil and full sun. They can tolerate a range of soil types but require regular watering during the growing season. Pruning is often done to maintain tree shape and improve fruit production.,"Jamun fruits are rich in nutrients and have a unique sweet-tart flavor. They are consumed fresh and used in various culinary preparations, such as desserts, beverages, and jams. The tree also has medicinal uses in traditional practices.",Syzygium Cumini is not typically considered a threatened or endangered species.
Syzygium Jambos (Rose Apple),"Syzygium Jambos, commonly known as Rose Apple or Jambos, is a medium-sized evergreen tree belonging to the Myrtaceae family. It is native to Southeast Asia and is cultivated for its fragrant flowers and edible fruits.","Rose Apple trees are cultivated in various tropical and subtropical regions worldwide. They are often found in gardens, parks, and urban landscapes.",Rose Apple trees prefer well-drained soil and full sun. They can tolerate a range of soil types but require regular watering during the growing season. Pruning is often done to maintain tree shape and improve fruit production.,"The fruits of Syzygium Jambos have a crisp texture and a floral aroma. They are consumed fresh and used in various culinary preparations, such as salads, desserts, and preserves. The tree's flowers are also prized for their fragrance.",Syzygium Jambos is not typically considered a threatened or endangered species.
Tabernaemontana Divaricata (Crape Jasmine),"Tabernaemontana Divaricata, commonly known as Crape Jasmine or Pinwheel Flower, is a small evergreen shrub belonging to the Apocynaceae family. It is native to Southeast Asia and is cultivated for its attractive flowers and ornamental value.","Crape Jasmine is cultivated in various tropical and subtropical regions worldwide. It is often found in gardens, landscapes, and as a potted plant.",Crape Jasmine prefers well-drained soil and partial shade. It requires a warm climate and protection from frost. The plant can be grown in containers or planted in the ground.,"The flowers of Tabernaemontana Divaricata are star-shaped and come in various colors, including white, pink, and yellow. They are used as ornamental flowers in gardens and floral arrangements.",Tabernaemontana Divaricata is not typically considered a threatened or endangered species.
Trigonella Foenum-graecum (Fenugreek),"Trigonella Foenum-graecum, commonly known as Fenugreek, is an annual herb belonging to the Fabaceae family. It is native to the Mediterranean region and is cultivated for its culinary and medicinal uses.","Fenugreek is cultivated in various countries with suitable climates, including India, Egypt, and Morocco. It is often found in kitchen gardens and as a spice crop.",Fenugreek plants prefer well-drained soil and full sun. They can be grown in pots or directly in the ground. The leaves and seeds of the plant are harvested for culinary purposes.,"Fenugreek leaves and seeds are used as a spice in many cuisines, especially in Indian and Middle Eastern dishes. They have a distinct aroma and flavor. Fenugreek also has medicinal uses and is believed to have various health benefits.",Trigonella Foenum-graecum is not typically considered a threatened or endangered species.
